model,top1,top1_err,top5,top5_err,param_count,img_size,crop_pct,interpolation,checkpoint,interpolation_res,filename
vit_small_patch16_384,77.906,22.094,93.906,6.094,22.2,384,1.0,bicubic,pretrained/S_16-i1k-300ep-lr_0.001-aug_medium2-wd_0.1-do_0.0-sd_0.0--imagenet2012-steps_20k-lr_0.01-res_224.npz,bicubic,results_small_16_384_int_pos_bicubic.csv
vit_base_patch16_384,81.1,18.9,95.328,4.672,86.86,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_384.npz,bilinear,results_base_16_384_baseline1.csv
vit_base_patch16_224,79.152,20.848,94.092,5.908,86.57,224,0.9,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,bilinear,results_base_16_224_baseline2.csv
vit_small_patch16_384,77.306,22.694,93.576,6.424,22.2,384,1.0,bicubic,pretrained/S_16-i1k-300ep-lr_0.001-aug_medium2-wd_0.1-do_0.0-sd_0.0--imagenet2012-steps_20k-lr_0.01-res_224.npz,nearest,results_small_16_384_int_pos_nearest.csv
vit_small_patch16_384,77.914,22.086,93.896,6.104,22.2,384,1.0,bicubic,pretrained/S_16-i1k-300ep-lr_0.001-aug_medium2-wd_0.1-do_0.0-sd_0.0--imagenet2012-steps_20k-lr_0.01-res_224.npz,bilinear,results_small_16_384_int_pos_bilinear.csv
vit_base_patch16_384,78.158,21.842,93.774,6.226,86.86,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,nearest,results_base_16_384_int_pos_nearest.csv
vit_small_patch16_384,81.114,18.886,95.576,4.424,22.2,384,1.0,bicubic,pretrained/S_16-i1k-300ep-lr_0.001-aug_medium2-wd_0.1-do_0.0-sd_0.0--imagenet2012-steps_20k-lr_0.01-res_384.npz,bilinear,results_small_16_384_baseline1.csv
vit_base_patch32_384,77.322,22.678,93.028,6.972,88.3,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,nearest,results_base_32_384_int_patch_nearest.csv
vit_base_patch32_384,76.812,23.188,92.87,7.13,88.3,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,bilinear,results_base_32_384_int_patch_bilinear.csv
vit_small_patch16_224,78.842,21.158,94.286,5.714,22.05,224,0.9,bicubic,pretrained/S_16-i1k-300ep-lr_0.001-aug_medium2-wd_0.1-do_0.0-sd_0.0--imagenet2012-steps_20k-lr_0.01-res_224.npz,bilinear,results_small_16_224_baseline2.csv
vit_base_patch32_384,77.414,22.586,93.124,6.876,88.3,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,bicubic,results_base_32_384_int_patch_bicubic.csv
vit_base_patch16_384,78.616,21.384,93.988,6.012,86.86,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,bicubic,results_base_16_384_int_pos_bicubic.csv
vit_base_patch16_384,78.54,21.46,93.936,6.064,86.86,384,1.0,bicubic,pretrained/B_16-i1k-300ep-lr_0.001-aug_strong2-wd_0.1-do_0.1-sd_0.1--imagenet2012-steps_20k-lr_0.01-res_224.npz,bilinear,results_base_16_384_int_pos_bilinear.csv
